02:36:34,962 [DATABASE_LOGGER] DEBUG 89 [DEBUG] STARTING

02:36:40,280 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583863200.0), '201.26', '201.3', '200.02', '200.65', '4701.62149');

02:36:40,467 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583863500.0), '200.65', '200.96', '199.83', '200.19', '5843.65614');

02:36:40,620 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583863800.0), '200.19', '200.21', '198.71', '199.08', '5274.79839');

02:36:40,771 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583864100.0), '199.1', '199.54', '198.67', '199.04', '2283.25855');

02:36:40,897 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583864400.0), '199.0', '199.36', '198.44', '199.24', '3167.02373');

02:36:41,27 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583864700.0), '199.2', '199.35', '198.6', '198.96', '1490.09336');

02:36:41,160 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583865000.0), '198.95', '200.31', '198.88', '199.27', '4845.09163');

02:36:41,297 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583865300.0), '199.31', '199.36', '198.85', '199.16', '987.1329');

02:36:41,436 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583865600.0), '199.23', '199.76', '198.62', '198.82', '1760.41797');

02:36:41,593 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583865900.0), '198.84', '200.59', '198.59', '199.74', '10378.80231');

02:36:41,697 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583866200.0), '199.74', '199.99', '199.12', '199.28', '1687.26919');

02:36:41,837 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583866500.0), '199.22', '199.66', '199.16', '199.26', '1203.20778');

02:36:41,988 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583866800.0), '199.27', '200.14', '198.9', '200.1', '3568.69036');

02:36:42,120 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583867100.0), '200.11', '200.41', '199.78', '200.13', '1520.32308');

02:36:42,257 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583867400.0), '200.13', '200.33', '200.0', '200.13', '1626.18168');

02:36:42,387 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583867700.0), '200.06', '200.63', '199.89', '200.18', '2314.81853');

02:36:42,507 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583868000.0), '200.18', '200.86', '200.17', '200.77', '2484.36875');

02:36:42,645 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583868300.0), '200.77', '200.77', '200.05', '200.49', '3807.00109');

