15:12:55,10 [DATABASE_LOGGER] DEBUG 89 [DEBUG] STARTING

15:13:01,58 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584017700.0), '136.13', '138.56', '135.2', '136.99', '21230.02384');

15:13:01,106 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584018000.0), '136.88', '139.47', '136.83', '138.46', '16459.25686');

15:13:01,157 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584018300.0), '138.39', '138.93', '135.69', '136.13', '18851.56657');

15:13:01,206 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584018600.0), '136.13', '136.5', '135.31', '136.01', '15464.32748');

15:13:01,259 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584018900.0), '136.02', '136.78', '135.32', '135.77', '15098.16637');

15:13:01,335 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584019200.0), '135.72', '136.25', '133.0', '134.21', '16614.50076');

15:13:01,388 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584019500.0), '134.13', '135.24', '133.31', '133.97', '12943.27158');

15:13:01,435 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584019800.0), '133.97', '133.99', '130.3', '130.9', '23898.3428');

15:13:01,484 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584020100.0), '130.89', '132.09', '126.75', '131.03', '38680.34372');

15:13:01,535 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584020400.0), '131.03', '131.03', '127.83', '128.38', '18713.21032');

15:13:01,584 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584020700.0), '128.39', '133.12', '126.75', '130.59', '28150.51545');

15:13:01,636 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584021000.0), '130.2', '132.48', '129.3', '130.35', '28952.05737');

15:13:01,697 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584021300.0), '130.35', '135.08', '129.97', '135.03', '25335.35178');

15:13:01,751 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584021600.0), '134.92', '137.0', '134.0', '134.91', '24679.16934');

